date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2023-07-13 09:00:00,339.17,339.49,338.7,338.9,30491.0,-0.0089,339.4732,49.7148,339.4732,338.14629282089277,340.8001071791073
2023-07-13 09:15:00,338.88,340.0,338.14,339.54,71186.0,0.1061,339.4912,55.424,339.4912,338.44470186853545,340.53769813146454
2023-07-13 09:30:00,339.56,342.47,339.02,341.19,2865597.0,0.646,339.6007,65.9235,339.6007,338.8317511808147,340.36964881918533
2023-07-13 09:45:00,341.25,341.7,340.52,340.708,950046.0,0.4564,339.6781,61.4712,339.6781,338.86305931290883,340.4931406870911
2023-07-13 10:00:00,340.74,341.17,339.73,340.367,890681.0,0.3411,339.736,58.5276,339.736,338.8324133999245,340.63958660007546
2023-07-13 10:15:00,340.36,340.81,339.83,339.89,623630.0,0.05,339.7445,54.6726,339.7445,338.73213724691425,340.7568627530858
2023-07-13 10:30:00,339.89,341.53,339.884,341.39,629058.0,0.5863,339.844,62.7862,339.844,338.7196222960998,340.96837770390016
2023-07-13 10:45:00,341.387,341.5,341.0,341.425,602866.0,0.5137,339.9312,62.9491,339.9312,338.5388002981187,341.3235997018813
2023-07-13 11:00:00,341.44,341.934,341.055,341.19,617716.0,0.412,340.0012,61.0601,340.0012,338.4795506178888,341.5228493821112
2023-07-13 11:15:00,341.19,341.44,340.8,340.925,513725.0,0.275,340.048,58.9599,340.048,338.5009774245032,341.5950225754968
2023-07-13 11:30:00,340.945,341.56,340.915,341.18,433826.0,0.4032,340.1165,60.3416,340.1165,338.5511707821651,341.68182921783483
2023-07-13 11:45:00,341.18,341.2,340.69,341.095,406486.0,0.4994,340.2012,59.6371,340.2012,338.6094015691622,341.79299843083777
2023-07-13 12:00:00,341.12,341.34,340.92,341.16,464767.0,0.566,340.2972,60.0129,340.2972,338.7002823608678,341.89411763913216
2023-07-13 12:15:00,341.155,341.61,340.88,341.52,501410.0,0.5535,340.3912,62.0716,340.3912,336.89708830220053,343.8853116977995
2023-07-13 12:30:00,341.52,342.17,341.196,341.23,567612.0,0.4149,340.4617,59.4752,340.4617,336.95461760252715,343.96878239747286
2023-07-13 12:45:00,341.239,341.43,341.0,341.14,338772.0,0.5038,340.5472,58.6734,340.5472,337.0248120965084,344.06958790349154
2023-07-13 13:00:00,341.14,341.33,340.7,340.813,352403.0,0.3542,340.6074,55.7967,340.6074,337.0803746005459,344.1344253994541
2023-07-13 13:15:00,340.81,341.13,340.54,340.95,316666.0,0.3074,340.6596,56.7322,340.6596,337.13395286667185,344.1852471333282
2023-07-13 13:30:00,340.94,341.43,340.94,341.15,288694.0,0.483,340.7416,58.0951,340.7416,337.2297596749028,344.2534403250972
2023-07-13 13:45:00,341.15,341.3,340.75,341.065,397835.0,0.5884,340.8414,57.2878,340.8414,337.3367800498066,344.34601995019347
2023-07-13 14:00:00,341.05,341.788,340.96,341.75,539189.0,0.841,340.9839,61.7918,340.9839,337.49885863651014,344.4689413634899
